User Response ID,P53000674.Q185050072_1340367939,P53000674.Q185050073_1340367943,P53000674.Q185050074_1340367947,P53000674.Q185050072_1340367935,P53000674.Q185050074_1340367948,P53000674.Q185050074_1340367946,P53000674.Q185050073_1340367940,P53000674.Q185050072_1340367938,P53000674.Q185050075,P53013544.Q185050078_1340367952,P53000674.Q185050073_1340367944,P53000674.Q185050073_1340367941,P53013544.Q185050078_1340367950,P53013544.Q185050078_1340367953,P53013544.Q185050078_1340367951,P53000674.Q185050072_1340367936,P53013544.Q185050076,P53000674.Q185050072_1340367937,P53013544.Q185050077,P53000674.Q185050074_1340367945,P53000674.Q185050074_1340367949,P53000674.Q185050073_1340367942
114577634260,1,1,1,1,1,1,1,0,aquarius de pera,1,1,1,1,1,1,0,no,0,0,1,1,1
114577961073,1,1,1,1,1,1,1,1,no tengo favorita,0,1,1,0,0,0,1,0,1,0,1,1,1
114577889924,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1
114577635205,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1
114577635884,1,1,1,1,1,1,1,1,fanta,0,1,1,0,0,0,1,0,1,12,1,1,1
114611327269,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1
114611328387,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1
114611755168,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
114611763020,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
114611772749,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
